date,session_key,driver_number,speed,brake,rpm,n_gear,drs,meeting_key,throttle,x,y,z
2025-05-04T19:08:44.508000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:44.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:44.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:45.228000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:45.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:45.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:45.948000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:46.308000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:46.668000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:47.669000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:47.989000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:48.269000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:48.429000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:48.709000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:49.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:49.388000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:49.748000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:50.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:50.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:50.428000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:50.708000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:51.028000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:51.188000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
2025-05-04T19:08:51.548000+00:00,10033,0,55,0,0,0,0,1259,0,0.0,0.0,0.0
